agent,total_steps,fold,iterations,mean_revenue,std_revenue,min_revenue,max_revenue,mean_train_time_sec
PPO,100000,0,1,304857.4638,0.0,304857.4638,304857.4638,6526.08
PPO,100000,1,1,250844.6501,0.0,250844.6501,250844.6501,6521.6
PPO,100000,2,1,288843.4276,0.0,288843.4276,288843.4276,6476.3
PPO,100000,3,1,254321.6587,0.0,254321.6587,254321.6587,6542.72
PPO,100000,4,1,296782.9513,0.0,296782.9513,296782.9513,6511.14
