agent,total_steps,fold,iterations,mean_revenue,std_revenue,min_revenue,max_revenue,mean_train_time_sec
PPO,10000,0,1,183334.6336,0.0,183334.6336,183334.6336,27.9
PPO,10000,1,1,129717.7793,0.0,129717.7793,129717.7793,27.93
